"","X","Course.ID","Free.Paid","Level","Rating","Subject","Language"
"77",77,403628,"Paid","All Levels",1,"Business Finance","French"
"78",78,1018380,"Paid","Beginner Level",2,"Business Finance","English"
"79",79,1103272,"Paid","All Levels",4,"Business Finance","English"
"80",80,828740,"Paid","All Levels",2,"Business Finance","English"
"81",81,443502,"Paid","Beginner Level",3,"Business Finance","Hindi"
"82",82,1198166,"Paid","Beginner Level",5,"Business Finance","English"
"83",83,1239068,"Paid","Beginner Level",5,"Business Finance","German"
"84",84,862786,"Paid","All Levels",1,"Business Finance","German"
"85",85,298522,"Paid","All Levels",4,"Business Finance","French"
"86",86,40039,"Paid","Intermediate Level",1,"Business Finance","German"
"87",87,1062144,"Paid","All Levels",1,"Business Finance","Spanish"
"88",88,466632,"Paid","Intermediate Level",4,"Business Finance","Hindi"
"89",89,529828,"Paid","All Levels",3,"Business Finance","French"
"90",90,788796,"Paid","All Levels",4,"Business Finance","English"
"91",91,629060,"Paid","Beginner Level",2,"Business Finance","English"
"92",92,439362,"Paid","All Levels",1,"Business Finance","English"
"93",93,598094,"Paid","All Levels",3,"Business Finance","Hindi"
"94",94,579642,"Paid","All Levels",3,"Business Finance","Hindi"
"95",95,42197,"Paid","Beginner Level",5,"Business Finance","German"
"96",96,103144,"Paid","All Levels",1,"Business Finance","English"
"97",97,364428,"Paid","Beginner Level",5,"Business Finance","Hindi"
"98",98,280842,"Paid","All Levels",5,"Business Finance","English"
"99",99,552504,"Paid","All Levels",5,"Business Finance","Spanish"
"100",100,169662,"Paid","Beginner Level",1,"Business Finance","French"
"101",101,749468,"Paid","Beginner Level",5,"Business Finance","English"
"102",102,1243448,"Paid","Beginner Level",1,"Business Finance","French"
"103",103,42642,"Paid","All Levels",4,"Business Finance","Spanish"
"104",104,724596,"Paid","All Levels",1,"Business Finance","Hindi"
"105",105,42491,"Paid","All Levels",5,"Business Finance","Hindi"
"106",106,975074,"Paid","Intermediate Level",1,"Business Finance","French"
"107",107,854764,"Paid","Beginner Level",4,"Business Finance","Spanish"
"108",108,158830,"Paid","All Levels",5,"Business Finance","German"
"109",109,1053272,"Paid","All Levels",5,"Business Finance","French"
"110",110,160322,"Paid","Beginner Level",4,"Business Finance","Spanish"
"111",111,696616,"Paid","Beginner Level",4,"Business Finance","English"
"112",112,258174,"Paid","Expert Level",2,"Business Finance","Spanish"
"113",113,159388,"Paid","Beginner Level",3,"Business Finance","German"
"114",114,1046724,"Paid","Beginner Level",1,"Business Finance","English"
"115",115,207166,"Paid","Beginner Level",2,"Business Finance","Hindi"
"116",116,247558,"Paid","All Levels",2,"Business Finance","German"
"117",117,355622,"Paid","Beginner Level",5,"Business Finance","Hindi"
"118",118,615206,"Paid","Beginner Level",3,"Business Finance","Spanish"
"119",119,718338,"Paid","All Levels",2,"Business Finance","Hindi"
"120",120,179446,"Paid","Beginner Level",1,"Business Finance","English"
"121",121,883394,"Paid","All Levels",2,"Business Finance","Hindi"
"122",122,44319,"Paid","Beginner Level",3,"Business Finance","Spanish"
"123",123,597716,"Paid","Beginner Level",5,"Business Finance","English"
"124",124,240256,"Paid","All Levels",3,"Business Finance","English"
"125",125,466774,"Paid","All Levels",1,"Business Finance","French"
"126",126,252950,"Paid","All Levels",4,"Business Finance","German"
"127",127,975414,"Paid","All Levels",3,"Business Finance","Spanish"
"128",128,327962,"Paid","Expert Level",4,"Business Finance","English"
"129",129,221872,"Paid","Beginner Level",3,"Business Finance","French"
"130",130,941120,"Paid","Beginner Level",3,"Business Finance","German"
"131",131,455452,"Paid","All Levels",2,"Business Finance","French"
"132",132,1028656,"Free","All Levels",3,"Business Finance","German"
"133",133,1041926,"Paid","Beginner Level",2,"Business Finance","French"
"134",134,485889,"Paid","Beginner Level",1,"Business Finance","German"
"135",135,476622,"Paid","Beginner Level",4,"Business Finance","Hindi"
"136",136,178602,"Paid","All Levels",2,"Business Finance","French"
"137",137,923184,"Paid","All Levels",5,"Business Finance","Hindi"
"138",138,619716,"Paid","All Levels",3,"Business Finance","English"
"139",139,179500,"Paid","Beginner Level",3,"Business Finance","English"
"140",140,1102462,"Paid","Beginner Level",4,"Business Finance","English"
"141",141,624016,"Paid","Intermediate Level",2,"Business Finance","English"
"142",142,577198,"Paid","Beginner Level",2,"Business Finance","German"
"143",143,702138,"Paid","Beginner Level",4,"Business Finance","French"
"144",144,436488,"Paid","All Levels",5,"Business Finance","English"
"145",145,945194,"Paid","All Levels",5,"Business Finance","French"
"146",146,551910,"Paid","All Levels",5,"Business Finance","French"
"147",147,676764,"Paid","All Levels",2,"Business Finance","English"
"148",148,41961,"Paid","All Levels",4,"Business Finance","French"
"149",149,42640,"Paid","All Levels",2,"Business Finance","Spanish"
"150",150,379196,"Paid","Beginner Level",1,"Business Finance","French"
"151",151,1070886,"Paid","All Levels",1,"Business Finance","French"
"152",152,781954,"Paid","All Levels",4,"Business Finance","English"
"153",153,648174,"Paid","All Levels",2,"Business Finance","English"
"154",154,868686,"Paid","Beginner Level",5,"Business Finance","Spanish"
"155",155,713416,"Paid","All Levels",2,"Business Finance","Spanish"
"156",156,1002282,"Paid","Beginner Level",1,"Business Finance","German"
"157",157,179824,"Paid","All Levels",3,"Business Finance","Spanish"
"158",158,298044,"Paid","All Levels",5,"Business Finance","German"
"159",159,101234,"Paid","All Levels",5,"Business Finance","German"
"160",160,815482,"Paid","Beginner Level",2,"Business Finance","German"
"161",161,787508,"Paid","Beginner Level",3,"Business Finance","Hindi"
"162",162,172898,"Paid","All Levels",4,"Business Finance","English"
"163",163,788720,"Free","Beginner Level",1,"Business Finance","Hindi"
"164",164,53211,"Paid","All Levels",1,"Business Finance","Hindi"
"165",165,932274,"Paid","All Levels",1,"Business Finance","French"
"166",166,576906,"Paid","Beginner Level",5,"Business Finance","Hindi"
"167",167,180384,"Paid","All Levels",4,"Business Finance","English"
"168",168,455120,"Paid","All Levels",1,"Business Finance","French"
"169",169,180360,"Paid","All Levels",4,"Business Finance","French"
"170",170,1080466,"Paid","Intermediate Level",4,"Business Finance","Hindi"
"171",171,610812,"Paid","Beginner Level",5,"Business Finance","French"
"172",172,72644,"Paid","All Levels",3,"Business Finance","Hindi"
"173",173,950748,"Paid","Intermediate Level",2,"Business Finance","Spanish"
"174",174,578534,"Paid","All Levels",4,"Business Finance","Hindi"
"175",175,932454,"Paid","Beginner Level",2,"Business Finance","German"
"176",176,180372,"Paid","Beginner Level",5,"Business Finance","French"
"177",177,1123226,"Paid","All Levels",1,"Business Finance","French"
"178",178,601912,"Paid","Intermediate Level",4,"Business Finance","French"
"179",179,658766,"Paid","All Levels",3,"Business Finance","German"
"180",180,201942,"Paid","Beginner Level",4,"Business Finance","Spanish"
"181",181,1185936,"Free","Intermediate Level",5,"Business Finance","French"
"182",182,1247394,"Paid","Beginner Level",2,"Business Finance","English"
"183",183,100526,"Paid","All Levels",1,"Business Finance","German"
"184",184,737832,"Paid","All Levels",3,"Business Finance","French"
"185",185,688244,"Paid","Beginner Level",2,"Business Finance","Spanish"
"186",186,617976,"Paid","All Levels",4,"Business Finance","French"
"187",187,645634,"Paid","Beginner Level",1,"Business Finance","Spanish"
"188",188,638966,"Paid","Beginner Level",4,"Business Finance","Spanish"
"189",189,792216,"Paid","Beginner Level",3,"Business Finance","French"
"190",190,996612,"Paid","All Levels",5,"Business Finance","German"
"191",191,682514,"Paid","All Levels",2,"Business Finance","French"
"192",192,239268,"Paid","All Levels",3,"Business Finance","English"
"193",193,312834,"Paid","All Levels",5,"Business Finance","Spanish"
"194",194,1110470,"Paid","All Levels",1,"Business Finance","French"
"195",195,1214144,"Free","Beginner Level",1,"Business Finance","English"
"196",196,389834,"Paid","Beginner Level",1,"Business Finance","French"
"197",197,680046,"Paid","Intermediate Level",4,"Business Finance","French"
"198",198,679238,"Paid","Expert Level",1,"Business Finance","English"
"199",199,439210,"Paid","Beginner Level",1,"Business Finance","German"
"200",200,950750,"Paid","Intermediate Level",2,"Business Finance","Hindi"
"201",201,767256,"Paid","All Levels",5,"Business Finance","German"
"202",202,323828,"Paid","Beginner Level",2,"Business Finance","Hindi"
"203",203,975982,"Paid","All Levels",2,"Business Finance","French"
"204",204,667332,"Paid","Beginner Level",2,"Business Finance","French"
"205",205,576636,"Paid","Beginner Level",4,"Business Finance","Hindi"
"206",206,885443,"Paid","All Levels",2,"Business Finance","French"
"207",207,542950,"Paid","All Levels",2,"Business Finance","French"
"208",208,236070,"Paid","Beginner Level",2,"Business Finance","French"
"209",209,331968,"Paid","Beginner Level",2,"Business Finance","German"
"210",210,157336,"Paid","All Levels",5,"Business Finance","French"
"211",211,1191504,"Paid","All Levels",2,"Business Finance","German"
"212",212,355798,"Paid","Beginner Level",1,"Business Finance","Hindi"
"213",213,400976,"Paid","All Levels",5,"Business Finance","Hindi"
"214",214,596026,"Paid","All Levels",5,"Business Finance","French"
"215",215,414744,"Paid","All Levels",4,"Business Finance","Spanish"
"216",216,1196544,"Paid","All Levels",3,"Business Finance","German"
"217",217,176136,"Paid","Beginner Level",5,"Business Finance","English"
"218",218,739910,"Paid","Intermediate Level",4,"Business Finance","Spanish"
"219",219,634932,"Paid","Expert Level",1,"Business Finance","English"
"220",220,327788,"Paid","Beginner Level",5,"Business Finance","German"
"221",221,639126,"Paid","Beginner Level",5,"Business Finance","German"
"222",222,936298,"Paid","Beginner Level",2,"Business Finance","Spanish"
"223",223,361286,"Paid","All Levels",3,"Business Finance","English"
"224",224,640062,"Paid","All Levels",3,"Business Finance","French"
"225",225,591880,"Paid","All Levels",1,"Business Finance","English"
"226",226,1100054,"Paid","All Levels",3,"Business Finance","English"
"227",227,581498,"Paid","Beginner Level",4,"Business Finance","Hindi"
"228",228,979616,"Paid","Intermediate Level",3,"Business Finance","English"
"229",229,382824,"Paid","All Levels",2,"Business Finance","English"
"230",230,42040,"Paid","All Levels",2,"Business Finance","Hindi"
"231",231,832832,"Paid","Beginner Level",3,"Business Finance","German"
"232",232,597164,"Paid","All Levels",5,"Business Finance","English"
"233",233,138004,"Paid","All Levels",3,"Business Finance","German"
"234",234,616564,"Paid","All Levels",2,"Business Finance","German"
"235",235,1088656,"Paid","Intermediate Level",5,"Business Finance","Hindi"
"236",236,743568,"Paid","Beginner Level",3,"Business Finance","French"
"237",237,931626,"Paid","Beginner Level",3,"Business Finance","Spanish"
"238",238,803664,"Paid","All Levels",5,"Business Finance","Hindi"
"239",239,871358,"Paid","Beginner Level",3,"Business Finance","Spanish"
"240",240,504620,"Paid","Intermediate Level",4,"Business Finance","Spanish"
"241",241,657130,"Paid","All Levels",3,"Business Finance","French"
"242",242,514844,"Paid","All Levels",2,"Business Finance","Spanish"
"243",243,662318,"Paid","All Levels",3,"Business Finance","English"
"244",244,155616,"Paid","All Levels",2,"Business Finance","English"
"245",245,304000,"Paid","Beginner Level",2,"Business Finance","English"
"246",246,1196728,"Paid","All Levels",5,"Business Finance","German"
"247",247,1225194,"Free","Beginner Level",1,"Business Finance","Spanish"
"248",248,843854,"Paid","All Levels",4,"Business Finance","Hindi"
"249",249,507600,"Paid","All Levels",5,"Business Finance","Spanish"
"250",250,73044,"Paid","Beginner Level",1,"Business Finance","English"
"251",251,598722,"Paid","Beginner Level",1,"Business Finance","Hindi"
"252",252,1023650,"Paid","All Levels",1,"Business Finance","Spanish"
"253",253,239416,"Paid","All Levels",3,"Business Finance","Spanish"
"254",254,172298,"Paid","Beginner Level",4,"Business Finance","English"
"255",255,801702,"Paid","All Levels",5,"Business Finance","English"
"256",256,702278,"Paid","All Levels",4,"Business Finance","Spanish"
"257",257,1196816,"Paid","Beginner Level",2,"Business Finance","Hindi"
"258",258,964828,"Paid","All Levels",2,"Business Finance","Hindi"
"259",259,746366,"Paid","All Levels",2,"Business Finance","English"
"260",260,81064,"Paid","All Levels",2,"Business Finance","French"
"261",261,831940,"Paid","Beginner Level",1,"Business Finance","German"
"262",262,363058,"Paid","All Levels",2,"Business Finance","Spanish"
"263",263,380542,"Paid","All Levels",2,"Business Finance","Spanish"
"264",264,986034,"Paid","Beginner Level",5,"Business Finance","English"
"265",265,429952,"Paid","Beginner Level",3,"Business Finance","French"
"266",266,235112,"Paid","All Levels",4,"Business Finance","German"
"267",267,38456,"Paid","All Levels",1,"Business Finance","English"
"268",268,304424,"Paid","All Levels",5,"Business Finance","French"
"269",269,902888,"Paid","Beginner Level",2,"Business Finance","English"
"270",270,167316,"Paid","All Levels",2,"Business Finance","French"
"271",271,822808,"Paid","Beginner Level",2,"Business Finance","Hindi"
"272",272,148028,"Paid","All Levels",4,"Business Finance","French"
"273",273,835212,"Paid","Beginner Level",1,"Business Finance","German"
"274",274,593962,"Paid","Beginner Level",2,"Business Finance","Hindi"
"275",275,765238,"Paid","All Levels",4,"Business Finance","French"
"276",276,1016420,"Paid","All Levels",2,"Business Finance","English"
"277",277,158140,"Paid","All Levels",5,"Business Finance","Hindi"
"278",278,990440,"Paid","All Levels",1,"Business Finance","English"
"279",279,229360,"Paid","All Levels",4,"Business Finance","German"
"280",280,985104,"Paid","All Levels",5,"Business Finance","English"
"281",281,742106,"Paid","Beginner Level",4,"Business Finance","French"
"282",282,307080,"Paid","All Levels",1,"Business Finance","English"
"283",283,1128662,"Paid","All Levels",5,"Business Finance","Spanish"
"284",284,42146,"Paid","Expert Level",3,"Business Finance","Spanish"
"285",285,306360,"Paid","All Levels",2,"Business Finance","Hindi"
"286",286,1097486,"Paid","All Levels",1,"Business Finance","English"
"287",287,1039930,"Paid","Intermediate Level",2,"Business Finance","Hindi"
"288",288,521952,"Paid","All Levels",3,"Business Finance","French"
"289",289,902150,"Paid","All Levels",2,"Business Finance","Spanish"
"290",290,850294,"Paid","All Levels",1,"Business Finance","German"
"291",291,323916,"Paid","All Levels",3,"Business Finance","German"
"292",292,179978,"Paid","All Levels",3,"Business Finance","Spanish"
"293",293,166842,"Paid","All Levels",1,"Business Finance","Hindi"
"294",294,35131,"Paid","Beginner Level",4,"Business Finance","Spanish"
"295",295,331600,"Paid","All Levels",2,"Business Finance","English"
"296",296,1022796,"Paid","All Levels",3,"Business Finance","Spanish"
"297",297,233294,"Paid","All Levels",1,"Business Finance","English"
"298",298,469526,"Paid","All Levels",3,"Business Finance","French"
"299",299,941520,"Paid","All Levels",4,"Business Finance","German"
"300",300,764010,"Paid","Expert Level",4,"Business Finance","Hindi"
"301",301,138560,"Paid","Intermediate Level",2,"Business Finance","English"
"302",302,832410,"Paid","Beginner Level",1,"Business Finance","German"
"303",303,73046,"Paid","All Levels",2,"Business Finance","French"
"304",304,929526,"Paid","All Levels",1,"Business Finance","English"
"305",305,665866,"Paid","All Levels",3,"Business Finance","French"
"306",306,828596,"Paid","All Levels",3,"Business Finance","French"
"307",307,73030,"Paid","All Levels",5,"Business Finance","Hindi"
"308",308,467238,"Paid","Beginner Level",4,"Business Finance","Spanish"
"309",309,420926,"Paid","All Levels",1,"Business Finance","German"
"310",310,696342,"Paid","Beginner Level",5,"Business Finance","English"
"311",311,972126,"Paid","All Levels",3,"Business Finance","German"
"312",312,1021104,"Paid","All Levels",1,"Business Finance","French"
"313",313,892446,"Paid","Intermediate Level",1,"Business Finance","German"
"314",314,434100,"Paid","Intermediate Level",5,"Business Finance","Hindi"
"315",315,119276,"Paid","Beginner Level",2,"Business Finance","German"
"316",316,73898,"Paid","Beginner Level",3,"Business Finance","Spanish"
"317",317,98706,"Paid","Beginner Level",2,"Business Finance","Hindi"
"318",318,247940,"Paid","All Levels",3,"Business Finance","Spanish"
"319",319,74004,"Paid","Intermediate Level",2,"Business Finance","English"
"320",320,849896,"Paid","Expert Level",2,"Business Finance","Spanish"
"321",321,1001010,"Paid","Beginner Level",5,"Business Finance","Hindi"
"322",322,322332,"Paid","Intermediate Level",1,"Business Finance","German"
"323",323,324656,"Paid","Beginner Level",4,"Business Finance","Hindi"
"324",324,850726,"Paid","All Levels",1,"Business Finance","Hindi"
"325",325,202290,"Paid","All Levels",1,"Business Finance","French"
"326",326,518886,"Paid","All Levels",5,"Business Finance","Spanish"
"327",327,334838,"Paid","All Levels",4,"Business Finance","French"
"328",328,768028,"Paid","All Levels",2,"Business Finance","Hindi"
"329",329,1053462,"Paid","All Levels",2,"Business Finance","German"
"330",330,462474,"Paid","All Levels",2,"Business Finance","German"
"331",331,676650,"Paid","Intermediate Level",3,"Business Finance","Hindi"
"332",332,281844,"Paid","All Levels",4,"Business Finance","English"
"333",333,658764,"Paid","All Levels",4,"Business Finance","German"
"334",334,796486,"Paid","Beginner Level",2,"Business Finance","German"
"335",335,130366,"Paid","All Levels",5,"Business Finance","French"
"336",336,73938,"Paid","Intermediate Level",4,"Business Finance","French"
"337",337,56058,"Paid","All Levels",3,"Business Finance","German"
"338",338,410576,"Paid","Intermediate Level",1,"Business Finance","Spanish"
"339",339,607876,"Paid","All Levels",3,"Business Finance","German"
"340",340,343818,"Paid","All Levels",5,"Business Finance","French"
"341",341,881062,"Paid","All Levels",4,"Business Finance","Hindi"
"342",342,552058,"Paid","Beginner Level",5,"Business Finance","English"
"343",343,408232,"Paid","Beginner Level",4,"Business Finance","Spanish"
"344",344,59725,"Paid","All Levels",2,"Business Finance","Spanish"
"345",345,177214,"Paid","All Levels",3,"Business Finance","Hindi"
"346",346,64739,"Paid","Beginner Level",2,"Business Finance","English"
"347",347,288256,"Paid","Beginner Level",1,"Business Finance","German"
"348",348,153926,"Paid","Beginner Level",5,"Business Finance","French"
"349",349,881778,"Paid","All Levels",5,"Business Finance","German"
"350",350,1222836,"Paid","Intermediate Level",3,"Business Finance","Spanish"
"351",351,754156,"Paid","All Levels",3,"Business Finance","Spanish"
"352",352,560218,"Paid","All Levels",4,"Business Finance","English"
"353",353,129274,"Paid","Beginner Level",5,"Business Finance","Spanish"
"354",354,869652,"Paid","All Levels",5,"Business Finance","English"
"355",355,74016,"Paid","Beginner Level",1,"Business Finance","German"
"356",356,258954,"Paid","All Levels",1,"Business Finance","German"
"357",357,557208,"Paid","All Levels",2,"Business Finance","Spanish"
"358",358,466558,"Paid","All Levels",1,"Business Finance","French"
"359",359,772480,"Paid","All Levels",4,"Business Finance","Spanish"
"360",360,666254,"Paid","All Levels",5,"Business Finance","French"
"361",361,501384,"Paid","All Levels",5,"Business Finance","Spanish"
"362",362,262818,"Paid","Intermediate Level",2,"Business Finance","English"
"363",363,544556,"Paid","All Levels",2,"Business Finance","French"
"364",364,1039442,"Paid","Beginner Level",2,"Business Finance","English"
"365",365,612528,"Paid","Beginner Level",1,"Business Finance","German"
"366",366,689868,"Paid","Beginner Level",1,"Business Finance","Hindi"
"367",367,1250694,"Paid","All Levels",4,"Business Finance","French"
"368",368,903326,"Paid","Beginner Level",4,"Business Finance","French"
"369",369,1223000,"Paid","Beginner Level",4,"Business Finance","Spanish"
"370",370,1050168,"Paid","Beginner Level",1,"Business Finance","German"
"371",371,548044,"Paid","All Levels",5,"Business Finance","Hindi"
"372",372,425338,"Paid","Beginner Level",1,"Business Finance","Spanish"
"373",373,498360,"Paid","All Levels",2,"Business Finance","French"
"374",374,980408,"Paid","Beginner Level",3,"Business Finance","German"
"375",375,725872,"Paid","All Levels",1,"Business Finance","German"
"376",376,1088102,"Paid","All Levels",2,"Business Finance","German"
"377",377,1170626,"Paid","Expert Level",4,"Business Finance","Hindi"
"378",378,380206,"Paid","All Levels",1,"Business Finance","Hindi"
"379",379,929146,"Paid","All Levels",3,"Business Finance","French"
"380",380,412108,"Paid","All Levels",2,"Business Finance","English"
"381",381,615204,"Paid","Beginner Level",4,"Business Finance","Spanish"
"382",382,581598,"Paid","All Levels",2,"Business Finance","Spanish"
"383",383,116924,"Paid","Beginner Level",1,"Business Finance","French"
"384",384,863998,"Paid","All Levels",4,"Business Finance","Spanish"
"385",385,1051430,"Paid","Intermediate Level",3,"Business Finance","German"
"386",386,974954,"Paid","Beginner Level",1,"Business Finance","English"
"387",387,742142,"Paid","All Levels",5,"Business Finance","German"
"388",388,1167536,"Paid","All Levels",4,"Business Finance","Hindi"
"389",389,900472,"Paid","Expert Level",2,"Business Finance","English"
"390",390,73860,"Paid","Beginner Level",3,"Business Finance","Hindi"
"391",391,562668,"Paid","All Levels",4,"Business Finance","English"
"392",392,971110,"Paid","All Levels",2,"Business Finance","German"
"393",393,65802,"Paid","All Levels",4,"Business Finance","French"
"394",394,273448,"Paid","Beginner Level",5,"Business Finance","English"
"395",395,94532,"Paid","Beginner Level",1,"Business Finance","Hindi"
"396",396,541824,"Paid","All Levels",2,"Business Finance","German"
"397",397,774570,"Paid","Beginner Level",2,"Business Finance","German"
"398",398,729128,"Paid","Beginner Level",3,"Business Finance","German"
"399",399,360916,"Paid","All Levels",4,"Business Finance","Spanish"
"400",400,927442,"Paid","Intermediate Level",5,"Business Finance","French"
"401",401,528104,"Paid","All Levels",2,"Business Finance","German"
"402",402,248338,"Paid","Intermediate Level",4,"Business Finance","English"
"403",403,501502,"Paid","All Levels",5,"Business Finance","French"
"404",404,168358,"Paid","Beginner Level",5,"Business Finance","German"
"405",405,700080,"Paid","Intermediate Level",5,"Business Finance","Spanish"
"406",406,19653,"Paid","Intermediate Level",4,"Business Finance","Spanish"
"407",407,1174084,"Paid","All Levels",1,"Business Finance","Hindi"
"408",408,865630,"Paid","All Levels",5,"Business Finance","French"
"409",409,815672,"Paid","Beginner Level",2,"Business Finance","French"
"410",410,931588,"Paid","Intermediate Level",5,"Business Finance","Spanish"
"411",411,812798,"Paid","All Levels",3,"Business Finance","German"
"412",412,941310,"Paid","Beginner Level",2,"Business Finance","German"
"413",413,43778,"Paid","Beginner Level",2,"Business Finance","French"
"414",414,753610,"Paid","All Levels",1,"Business Finance","German"
"415",415,322118,"Paid","Beginner Level",2,"Business Finance","Hindi"
"416",416,709816,"Paid","Intermediate Level",5,"Business Finance","Spanish"
"417",417,255046,"Paid","Beginner Level",3,"Business Finance","German"
"418",418,74028,"Paid","All Levels",3,"Business Finance","German"
"419",419,73962,"Paid","All Levels",2,"Business Finance","French"
"420",420,193916,"Paid","All Levels",2,"Business Finance","Spanish"
"421",421,1101382,"Paid","Beginner Level",2,"Business Finance","English"
"422",422,64173,"Paid","Beginner Level",2,"Business Finance","German"
"423",423,869716,"Paid","Intermediate Level",1,"Business Finance","Hindi"
"424",424,509512,"Paid","Beginner Level",5,"Business Finance","German"
"425",425,1046940,"Paid","All Levels",3,"Business Finance","Spanish"
"426",426,469848,"Paid","Beginner Level",1,"Business Finance","Spanish"
"427",427,499504,"Paid","Beginner Level",5,"Business Finance","German"
"428",428,538560,"Paid","Beginner Level",3,"Business Finance","German"
"429",429,1189592,"Paid","Beginner Level",4,"Business Finance","German"
"430",430,1178820,"Paid","All Levels",5,"Business Finance","Spanish"
"431",431,1078520,"Paid","Expert Level",4,"Business Finance","Spanish"
