Course ID,Course Title,Price,Number of Subscribers,Number of Reviews,Number of Lectures,Content Duration
1137310,自分に合った投資信託を見つけよう！,25,859,49,23,2
713258,Bookkeeping Basics: Understand the Fundamentals,75,853,45,48,4.5
757508,"Financial Accounting, its Cycle, Statements & Analysis",20,853,4,35,5
497236,Raise Your Credit Score to 800 Or More....,50,844,33,40,2
445916,Excel Dashboard - Interactive Excel Dashboard and Charts,30,843,54,34,3
915964,Learn to Reliably Invest In The Stock Market,50,841,14,19,0.616666667
949504,Straddle Options Trading - Profit in Any Market Direction,200,837,9,19,1
1028030,Analysis of Company Financial Statements,20,832,34,34,1.5
186556,CFA® Level 1 2014 – Alternative Investments,30,831,1,13,2
66383,A Beginners Guide to Technical Analysis of Stock Charts,40,829,78,50,8.5
486240,2 Easy Steps To Investment And Avoiding Traps,20,828,1,20,1
1167710,The Only Investment Strategy You Need For Your Retirement,200,827,14,15,1
571506,ProTrader -  Advanced Technical Analysis,125,825,11,34,2
389108,Stock Market - Swing Trading Strategies for Wall Street,50,814,9,5,1
598846,Forex para Principiantes-Ejemplos en VIVO de Trading Real,140,813,94,52,5
587232,Simple Linear Regression Analysis ( A Complete Course ),200,811,5,29,1.5
920424,Option Trading for Rookies: Basic Option Strategies,95,810,27,61,2.5
1242604,Winning Forex Trading with Live Forex Trading Examples,200,809,3,25,2
514036,Crystal ball trading - foresee price with seasonal patterns,145,807,19,23,6
743914,Value Investing For Beginners,100,801,48,25,2.5
136244,Triple P Trading Course,20,797,15,16,3
173462,Aprende a invertir y deja que tu dinero trabaje para ti,145,789,68,95,14
368916,Step by step guide to understand how business perform,20,788,3,15,0.633333333
986024,العلوم والمبادئ الأساسية للمهنة الإكتوارية,25,781,7,8,0.65
45136,Weekly Options and study of Options expiration dynamics,60,779,56,6,1
42651,Straddles and Strangles - Volatility moves in any direction,60,775,54,11,1.5
790034,Learn How to Trade Pump and Dumps. 5 Setups Well Explained.,50,769,10,18,2
282050,The Day Trader: Learn to Trade The Stock Market and Forex,20,768,23,54,10.5
387348,Financial Statement Fundamentals for Small Biz & Investors,30,751,1,61,3
838260,Forex trading Basic to advance Professional Level course,20,750,13,28,2.5
1024862,Making Tax Digital - UK HMRC Legislation Explained,0,743,0,7,1
692268,Learn Business Finance: Win more work as a Business Coach,20,741,4,22,2
352150,Learn to Trade for Profit: Ten Most Profitable Trading Rules,95,739,28,45,2
178776,Fixed Income Securities,50,739,54,24,4.5
42645,"Backspreads, Diagonals and Butterflies - Advanced Strategies",60,737,41,10,2
484134,Cost Accounting Operating Costing(Professional Course Level),20,731,2,8,1
45139,"Get to know the VIX Index (aka 'The Fear Index)""",60,727,64,9,1
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,20,727,11,25,3
323196,Master Finance in Three Hours,20,721,12,29,3
987682,Stocks: Quick Method to get started Investing,0,718,13,7,1
408894,Basics of Tax in India  (College Level),20,718,5,28,2
471588,Learn how to INVEST for huge profits or make it big trading!,50,701,12,37,5.5
212952,ビットコイン生態系｜既存通貨が主役をやめる日,20,701,55,16,1.5
179820,Introduction to Futures & Options,50,694,35,27,4.5
213154,Automate Your Finances,20,690,17,21,1
907416,Tudo sobre Investimentos em Renda Fixa,45,689,145,16,2
403628,Bookkeeping to Command Senior Bookkeeping Wages,55,683,16,58,4.5
1018380,Forex Trading Like Banks – Step by Step with Live Examples,195,677,45,40,4.5
1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",200,668,12,22,1
828740,Hedge Fund Accounting and Valuation,20,668,10,11,0.566666667
443502,Essential Finance For Managers,25,663,10,79,5.5
1198166,Top 10 Trading Ideas in the Equities Market,20,661,4,12,1
1239068,How to Buy Cheap Options - Options Trading Pricing Model,200,658,2,19,1
862786,Financial modeling: Build a multiples valuation model,20,656,17,20,1.5
298522,Navigate the 10-K and Other Financial Reports,40,653,55,20,2.5
40039,Comprehensive Forex Mastery Program,45,650,107,97,10
1062144,Aprende a invertir sin capital,130,649,37,29,1.5
466632,Stock Markets: How I Became Rich By Changing How I Trade,20,646,6,17,1
529828,Python for Trading & Investing,95,638,25,36,5
788796,The Cost of Capital: The Key To Attract Venture Capitalists,50,635,4,6,0.683333333
629060,Trading Trends in ANY Market,30,632,49,22,2
439362,"Professional Options Trading, Simplified",200,631,49,21,2
598094,Crowdfunding to Win,40,627,15,15,1.5
579642,Professional Trading - Consistent Profits with Low Risk!,20,627,5,27,1
42197,Options Spreads Bundle-  the heart of Options Trading,120,623,43,8,2.5
103144,Forex Elite Trading,85,623,7,22,6
364428,CFA Corporate Finance Level 1 (Part 1),180,621,1,107,14.5
280842,Take Your Career to the Next Level with MBA Finance,50,618,10,19,2
552504,Introduction to Options - Strategies For Consistent Profits,40,617,44,55,4.5
169662,Capital Market Immersion,195,613,33,142,24.5
749468,Kostenrechnung lernen leicht gemacht,40,612,46,72,3
1243448,"Forex Trading with Fixed 'Risk through Options Trading""",200,611,4,26,1
42642,The Basics Of Volume Analysis,60,611,57,13,1.5
724596,Tax Preparation: Learn Fast! Prepare Taxes with Confidence!,200,609,32,33,2.5
42491,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery,60,607,55,16,2
975074,ALGOTECH Hedge Fund Method for Stock Market Trading,20,605,19,4,0.316666667
854764,Indian Contract Act 1872: Must for all Finance Professionals,20,605,3,14,1
158830,Samuel and Co Trading - Stock & Forex Trading,50,592,109,24,5.5
1053272,The Financial Analyst Skills Training (FAST) course 2017,100,589,31,138,10
160322,Basics of Finance and Budgeting,20,578,7,34,6
696616,Stock Market for Beginners - Complete Starter Toolkit,120,577,45,82,6.5
258174,Accounting for Depreciation (Collage Level),20,576,1,14,1
159388,3. Compound Interest,20,570,2,21,2
1046724,Quantitative Trading Analysis with R,50,567,40,53,7.5
207166,How to Copy the Best Traders on Etoro,90,564,9,41,3.5
247558,A Complete Guide to Becoming a Trader on the Forex Market,25,562,11,15,1
355622,Trade Forex 13 Patterns - Golden Ratios Secret Revealed,200,554,63,44,4
615206,Professional Bookkeeping & Accounting 1: Sales & Purchases,35,551,22,34,1.5
718338,How To Confidently Join The Bitcoin Revolution,45,547,98,53,7
179446,Commercial Credit Analysis,50,545,48,42,7.5
883394,Forex - Calculate Lot Size Like Pro,20,543,14,11,0.6
44319,Master Calendar Spreads with this live trade on Gold (GLD),60,540,44,6,1
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,200,521,67,24,3
240256,Forex Breakout Profits: The Definitive Guide,25,521,60,27,2.5
466774,Learn About Bitcoin and Bitcoin Mining,20,520,10,9,0.533333333
252950,Chartered Financial Analyst (CFA) - Level 1 - FRA,30,517,5,17,14.5
975414,Contango VXX - ETF Options Trading - Double Your Investment,200,513,20,20,1
327962,Forex Trading Profitably,20,512,13,15,0.666666667
221872,Working Capital Management for Entrepreneurs,20,507,5,15,1
941120,Option Trading for Rookies: Make & Manage Profitable Trades,95,507,19,59,2
455452,"Accounting, Finance and Banking - A Comprehensive Study",180,507,36,395,33
1028656,财务分析与估值建模入门,0,505,43,10,1.5
1041926,How to Trade Forex like a Hedge Fund: Long FX Strategies,115,504,5,32,1.5
485889,Cost Accounting - A Comprehensive Study,180,503,43,286,29.5
476622,Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified,40,500,45,34,4
178602,Capital Market Road Map,50,495,47,21,4
923184,Pin Bars: The Most Powerful Forex Trading Signal,200,494,16,19,1
619716,Easy Market Profits: 3 Step Stock Investing Strategy,20,486,3,14,3
179500,Interest Rate Swaps,50,485,24,20,3.5
1102462,FOREX Trading with Price Action,195,484,57,19,1
624016,TRADING FOR A LIVING: Trading Full-Time Transition Guide,195,483,10,40,3.5
577198,Asset Protection Using Offshore Companies,20,480,3,21,1
702138,Bitcoin Investing: The Complete Buy & Hold Strategy,25,477,70,41,4
436488,Futures/Commodity Trading,50,472,34,23,5.5
945194,Finanzielle Unabhängigkeit-1: Erste Schritte zur Million,20,465,51,28,1
551910,SEASON 2 MQL4 Tutorial Bootcamp - Metatrader4 Trading Robots,25,462,18,34,1
676764,Create Your Own Automated Stock Trading Robot In EXCEL!,150,461,45,44,5
41961,"Options Foundation - Time Decay, Implied Volatility, Greeks",60,459,25,14,3
42640,Technical Analysis - A practical approach for trade entry,60,454,52,15,2
379196,Binary Options Beginners Guide : Nadex,40,454,52,39,2
1070886,Python Algo Trading: FX Trading with Oanda,200,453,42,33,3
781954,Cost Accounting and Financial Management - A Complete Study,150,452,14,444,45
648174,Buchführung lernen leicht gemacht,40,446,39,70,5
868686,Double Entry Bookkeeping,50,440,17,10,1
713416,Proven Methods In Trading Candlestick Patterns,75,438,10,22,1.5
1002282,Bitcoin - Ethereum: Trading -Watch me manage my own account!,165,431,58,22,2.5
179824,Equity Products,50,426,17,16,2.5
298044,Accounting for everyone!,35,420,2,14,1
101234,The Smart Option Trader,45,412,19,74,13
815482,Stock Technical Analysis with Python,50,409,35,46,8
787508,How to Grow your Small Business and not run out of Cash,25,408,3,16,1.5
172898,Fundamental Financial Math,50,406,13,15,2.5
788720,Cost of Capital and Weighted Average Cost of Capital,0,405,3,22,1
53211,Matemática Financeira de um jeito fácil,95,401,67,20,1.5
932274,The Ultimate Fibonacci Trading Plan for Forex and Stocks,200,399,15,15,1
576906,"Technical Analysis Primer for trading Stocks, Bonds & Forex",50,397,4,36,3
180384,Yield Curve Dynamics,50,397,24,19,3
455120,Life Coach Business Basics: Finance and Operations,195,397,4,54,3.5
180360,Equity Swaps,50,394,25,18,3
1080466,Curso Completo de Bitcoin - Ganhe 0.00005 Bitcoin,30,394,109,73,5.5
610812,Portfolio Management CFA L1 2016,20,393,5,34,5
72644,Complete Claritas Investment Certificate,50,388,56,35,11.5
950748,Finanzielle Unabhängigkeit-2 Millionär werden mit Investment,20,384,37,18,0.716666667
578534,The Intelligent Investor,30,384,40,44,10.5
932454,Contabilidad rápida y eficaz,40,379,60,60,2
180372,Mortgage Backed Securities,50,376,29,21,3.5
1123226,MasterClass-Japanese & Heiken Ashi CandleStick Patterns,195,375,10,26,3.5
601912,TRADING: 5K CHALLENGE,55,375,10,19,1
658766,Advanced Financial Management for CA / CS / CFA /CPA Exams,150,375,15,194,24.5
201942,"Bitcoins - Past, Present, Future",20,373,3,14,1.5
1185936,الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,0,368,3,69,20.5
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,95,367,42,35,5
100526,Winning Options Trading System,105,367,11,24,7.5
737832,Bitcoin Peer Investing: How To Generate Double Digit Returns,25,366,45,41,2.5
688244,How I Make Money Writing About Stocks Online,195,360,24,12,2.5
617976,Curso Completo del Mercado FOREX,200,359,86,50,5.5
645634,How to Build Profitable FOREX Automated Trading Strategies!,200,358,8,21,2.5
638966,188% Profit in 1Year - Forex ALGO Robot Trading no indicator,120,357,71,20,2
792216,Stock Technical Analysis with R,50,354,32,49,7
996612,High Probability Trading Across Any Market: Stocks & Forex,95,353,27,105,18.5
682514,Professional Forex strategy,50,353,21,17,1.5
239268,Level 1 2014 CFA® Program – Equity Investments,40,347,0,24,4.5
312834,Professional Trading With Institutional Supply & Demand,200,343,84,37,5.5
1110470,The Passive Investing Blueprint - Build Wealth Passively,200,338,32,66,3.5
1214144,¡Triunfar en La Bolsa de Valores No Requiere de Experiencia!,0,338,7,6,1
389834,Stock Trading: Ultimate Guide to swing trading stocks,200,336,6,13,0.683333333
680046,Curso Completo de Opciones Binarias: Estrategias 90% Acierto,145,335,16,26,1.5
679238,Day Trading - Learn to Day Trade / Swing Trade In One Hour.,95,335,25,29,1.5
439210,Law Matters,20,327,1,12,0.45
950750,Finanzielle Unabhängigkeit-3 Millionär werden mit Immobilien,20,326,23,14,1
767256,Mastering Technical Analysis : Maximizing Trading Profits,60,325,14,62,5
323828,"An Introduction: MT4 Email, Sound, Notification Forex Alerts",20,323,30,11,0.616666667
975982,4 Easy Daily Forex Trades: A Recipe for Trading Success,200,319,19,12,1
667332,Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx!,130,315,49,41,5
576636,Build your own Naked Trading Forex Robot,40,315,28,19,2
885443,Investment Portfolio Analysis with R,50,314,38,37,6.5
542950,MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4,20,313,14,25,1
236070,Forex Harmonic Trading- With Multiple Forex Chart Examples,135,313,16,25,2.5
331968,Trading: From Wall Street to Your Street,50,312,24,37,5.5
157336,10. Bonds and Bond Pricing,20,308,4,10,1
1191504,How to create a routine Trading,25,307,8,5,0.133333333
355798,Learn Accounting by Specific Examples - Part 1,50,306,0,5,0.633333333
400976,Bitcoin Trading 101,95,302,6,19,2
596026,Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,95,299,5,65,2.5
414744,Learn How to File Taxes for Uber and Lyft Drivers,40,294,5,25,2
1196544,Python Algo Trading: Sentiment Trading with News,200,294,19,42,7
176136,Trade for a Living,20,293,14,59,8
739910,Learn To Trade The Forex Naked Price Action Acapulco Trade,70,288,9,13,1
634932,Inversión: Fundamentos del Trading para Principiantes,125,285,6,18,1.5
327788,Bitcoin - A Comprehensive Guide,20,283,13,35,2.5
639126,６時間でインターバンク市場を攻略！最短距離でトレード基礎力,35,280,40,54,4
936298,Trade the News in Forex: EA Robot Included,200,276,11,11,0.566666667
361286,Wealth Management,30,274,1,21,3.5
640062,Accounting Made Easy: A Quick Guide to Financial Accounting,95,274,41,18,1.5
591880,1 - Concepts of Statistics For Beginners Step by Step,200,273,4,15,0.516666667
1100054,FOREX TRADING - Learn in a quick + profitable way + support,100,271,48,47,3.5
581498,Contabilidad Gubernamental en México,30,270,22,24,3.5
979616,"Investing In Stocks For Big Gains, Fundamental Investing",200,267,11,21,2
382824,Investment Banking Operations : Securities Trade Life Cycle,30,267,9,10,2
42040,Buying Call and Put Options - Options beginner strategies,60,266,20,14,3
832832,Beginners Guide To Ichimoku Trading,20,265,16,17,1
597164,Learn to Trade for Profit: Finding Winning Stocks - Chinese,95,264,0,79,3
138004,Accounting Concepts For Technocrats,20,261,2,35,2.5
616564,entiende la contabilidad y consigue un aumento de salario,20,260,18,17,1.5
1088656,Quantitative Trading Analysis with Python,50,256,17,49,5.5
743568,"Financial Analysis, from Scratch to Professional!",65,256,29,39,3.5
931626,Learn to Trade With Fibonacci Tools,30,252,45,30,4
803664,How to invest in Gold,50,249,14,39,2.5
871358,Financial Modeling and Valuation: Complete Beginner to Pro,50,249,46,28,5
504620,Mortgage Acceleration,20,247,2,17,1.5
657130,"Trading Mindset, and Three Steps To Profitable Trading",20,246,8,24,1.5
514844,Contabilidad Financiera: Conoce el Lenguaje de los Negocios.,20,244,13,21,2.5
662318,Learn Quickbooks to maintain books properly,20,241,5,26,2.5
155616,4. Ordinary Simple Annuities: The Basics,20,237,1,17,1.5
304000,Financial Modelling for entrepreneurs,20,232,7,17,1
1196728,From 0 to 1: Investments and Portfolio Theory,50,230,0,22,4.5
1225194,Zoho Books Gestion Financière d'Entreprise pas à pas,0,229,0,33,2
843854,The Complete Guide to Professional Trading with Elliott Wave,115,228,49,43,4.5
507600,Stock Trading Strategies Using a D.A.R.T.,20,227,3,5,1
73044,CFA Level I Foundation: Introduction to Financial Reporting,50,226,5,13,5.5
598722,"Build, Grow, and Protect Your Assets: A Step-by-Step Guide",195,226,26,26,3.5
1023650,Financial Modeling for Professionals in 1 Day!,200,226,12,29,4.5
239416,Level 1 2014 CFA® Program – Derivatives,40,225,2,17,2.5
172298,8. Amortization Schedules,20,225,1,5,1
801702,"Geld verdienen mit dem Ticken der Uhr, wie Warren Buffett!",195,225,41,33,5
702278,The Big Volatility Short: The Best Trade On Wall Street!,200,224,35,16,1.5
1196816,From 0 to 1: Bond Theory and Valuation,50,223,2,29,4
964828,Forex Trading - Learn An Effective Forex Trading Strategy,95,223,34,16,1.5
746366,Financial Statements: Learn Accounting. Unlock the Numbers.,40,222,12,35,3
81064,Easy Forex and Futures Trading,100,218,5,66,14.5
831940,Fundamentals of Accounting for Business Owners,20,217,0,47,2.5
363058,Technical Trading and Investing Made Easy,40,217,7,27,1.5
380542,Day Trading in Stocks: Strategies for Beginner Investors,50,217,19,9,2
986034,Technical Analysis Using Elliott Wave Theory,60,217,7,16,1
429952,The Complete Financial Model Builder Course-Build 7 Models,75,214,20,88,9
235112,Forex - Catch the Big Market Moves in Forex,20,212,25,14,1.5
38456,Essential Options: Strategies for Mastering the Stock Market,50,211,9,27,5
304424,Numbers for the Business Plan,20,210,1,12,1.5
902888,Investment Portfolio Analysis with Python,50,209,13,37,7
167316,TRADER BOT: Introdução à Linguagem MQL5,20,209,33,33,70
822808,Tax Strategies of the Wealthy,195,207,19,11,1.5
148028,Become a Career Day Trader: Asian-Pacific Futures Markets,20,207,8,30,3.5
835212,The Fundamentals Of Finance For Non-Finance Professionals,40,206,3,7,1.5
593962,Stock Fundamental Analysis with Excel,50,206,13,50,10
765238,Trading Algorítmico en Forex: Crea tu primer Robot de Forex!,170,206,39,39,6.5
1016420,Введение в Финансовую Инженерию,50,205,20,20,5
158140,9. Sinking Funds,20,205,1,5,1
990440,My Forex Strategy that win consistently over and over,200,204,23,9,1.5
229360,Level 1 2014 CFA® Program – Corporate Finance,40,204,1,18,3
985104,Investimento em Ações para Leigos,20,201,46,19,2.5
742106,Credit Risk Analysis,20,194,24,19,3.5
307080,Introducción a la contabilidad,20,193,19,14,1
1128662,Volatility Trading Analysis with R,50,190,13,45,6
42146,Advanced Finance and Accounting for Startups,40,188,7,48,6.5
306360,How to Read Financial Statements: Build Financial Literacy.,25,188,10,20,1.5
1097486,Apprendre à trader sur le marché du Forex - guide complet,140,187,47,38,3
1039930,"Wie Du, Dir auch mit kleinen Beträgen ein Vermögen aufbaust",70,187,3,53,7
521952,Ultimate Guide To Trading Engulfing Candlestick Strategy,200,185,36,25,2.5
902150,Learn Global Macro Trading & Investing for Retail Investor,75,178,16,27,1.5
850294,The Everyday Investor: Building Wealth with Venture Capital,20,176,2,12,2.5
323916,Learn How To use Channels to find amazing Forex Entries,45,172,48,15,1
179978,How to Make IT Work Successfully in Capital Markets,50,171,8,21,3
166842,6. Annuities Due and Deferred,20,170,0,16,1.5
35131,Introduction to Small Business Accounting Training Tutorial,25,168,9,75,3.5
331600,Learn Bookkeeping From Scratch,20,168,2,21,3
1022796,Trading for winning,200,168,7,27,2
233294,Financial Translation,20,167,6,29,1.5
469526,Trading Biotech Stocks - Understanding the Healthcare Sector,55,166,17,16,1.5
941520,Financial Accounting For Beginners,60,164,3,22,1.5
764010,Learn to Trade Forex Naked Price Action Wammie Trade,40,159,16,13,1
138560,Credit Repair from a Financial Institution,20,157,13,9,2.5
832410,Stock Technical Analysis with Excel,50,156,16,41,7
73046,CFA Level I Foundation Course: Introduction to Quants,50,155,4,11,5
929526,Learn to trade Candlestick Patterns,20,155,23,22,1.5
665866,Investment Portfolio Analysis with Excel,50,154,7,39,9
828596,Global Macro Investing - Take Control Of The World's Markets,30,153,41,27,2
73030,Get to grips with the CFA calculator,20,153,8,14,1.5
467238,Advance Technical Analysis,50,152,6,14,3.5
420926,CFA® Level 1 2014 – Financial Reporting and Analysis,50,152,2,102,10
696342,FOREX: From Zero To Hero,150,152,27,26,3
972126,Forex Trading Masterclass - Learn To Trade Better,200,152,7,30,3
1021104,Aprenda a Investir seu Dinheiro,85,150,28,19,2.5
892446,Visualizing Data,40,149,2,63,6.5
434100,CFA® Level 1 2014 – FI,40,149,0,49,4.5
119276,Aprende a hacer paper trading (simulación) con Ninja Trader,25,148,3,15,1.5
73898,CFA Level I Workshop 1: Ethics and Quantitative Methods,20,147,4,5,1
98706,Stock Market for Beginners. Learn to trade,35,143,15,42,3.5
247940,Monetizing Your Website: How to Add Cost-Per-Action (CPA),35,142,4,18,1
74004,CFA Level I Workshop 4: Fixed Income and Equity,20,139,3,6,1.5
849896,株式投資に必要なスキルの学習手順を学ぶ,20,139,36,29,2
1001010,Forex Trading: Strategia Correlazione EUR/GBP vs GBP/USD,50,137,39,27,1.5
322332,Learn To Invest In 7 Steps,50,137,14,21,3
324656,Forex Trading,95,136,14,25,4.5
850726,Forex trading with binary options,25,136,28,21,3
202290,Stock Market Mastery,20,135,2,25,7.5
518886,MQL4 Tutorial Golden Goose,20,135,5,12,1.5
334838,Economics - CFA Level 1 - 2014,20,135,20,24,4
768028,* An Integrated Approach to the Fundamentals of Accounting,200,134,14,123,5.5
1053462,Management Accounting A Complete Study,150,133,3,158,17.5
462474,Business Banking 101,25,132,3,14,1.5
676650,Corso introduttivo al trading profittevole,20,132,9,9,1
281844,How to Pick Stocks,20,131,3,28,1.5
658764,Forex Management - Detailed Study for CA / CS / CFA Exams,50,131,2,38,3
796486,Super Fast Accounting - the fastest way to do your books,25,129,21,8,0.566666667
130366,Trading: High-ROI Trading,190,126,20,47,12.5
73938,CFA Level I Workshop 2: Financial Reporting & Analysis I,20,126,2,5,1
56058,Surpassing Your Kickstarter Goals,30,124,7,12,1
410576,CFA® Level 1 2014 – Portfolio Management,40,124,2,10,2
607876,Mastering Candlestick Charting : High Probability Trading,50,123,16,35,2
343818,Understanding The Stock Market: For Beginners,25,122,2,36,7.5
881062,Options Basics & Trading With Small Capital! - Level 1,30,120,17,19,2
552058,Analyze Real Estate Investments | Financial Modeling,20,120,18,21,2
408232,CFA® Level 1 2014 – Quantitative Methods,50,119,0,27,5
59725,Small Business and Managerial Accounting Training Tutorial,20,117,3,71,3.5
177214,An Introduction to Management of Portfolios (MoP),20,117,15,6,1.5
64739,Professional Risk Manager (PRM) Certification: Level 1,50,116,10,51,24
288256,"Trade Stocks, Forex & Financial Markets like a Professional",20,116,6,12,3
153926,BITCOIN VISUALLY. Part I.,50,115,6,31,4
881778,資産運用の基礎を学ぶファイナンス入門,20,114,13,52,4
1222836,Case Studies in Macro Economics,50,114,1,22,4
754156,Aktiver Vermögensaufbau mit ETF,20,112,18,33,2
560218,Introduction to Financial Statements,40,112,1,14,1.5
129274,Aprende a Ganar Dinero en la Bolsa,30,112,16,42,4
869652,Ethereum Course for Investors,40,111,20,11,1
74016,"CFA Level I Workshop 5: Corp Finance, Quants II & Derivative",20,110,1,5,1
258954,CFA Level 1 - Derivatives,30,110,6,25,4
557208,Accounting - Basic Costing,40,108,2,37,3.5
466558,Bonds For Beginners - A Guide To The Bond Markets,20,106,14,24,0.566666667
772480,Learn to Trade Forex Big U-Turn Trade,50,106,13,12,1
666254,Curso Avanzado de Trading,125,106,11,100,20.5
501384,Essentials Of Swing Trading Stocks,20,105,9,5,1
262818,Simple Options Trading System,35,104,2,16,1.5
544556,Stock Trading: Insider Tips For Determining Market Direction,95,104,1,11,1
1039442,How To Trade RSI Pullback Strategy: Entry To Exit (Forex),150,104,10,21,2
612528,Corporate Finance and Alternative Investment for CFA L1,20,103,3,27,4.5
689868,The Binary Institute -  Binary Options Trading Course,200,103,25,12,2.5
1250694,カードゲームでカンタンに理解する！経済とお金のキホン,20,103,3,18,1
903326,CPA 10 COMPLETO,25,101,25,18,5
1223000,Innovators and innovation: Travel through time!,50,101,0,31,6
1050168,Forex Trading : Power Of Moving Averages,200,100,24,33,4
548044,Corporation Tax Returns UK,50,100,23,25,2
425338,Basics of Trading,40,99,17,27,1
498360,Trading For Busy People,50,99,12,26,3
980408,Introduction to the economics of public services regulation,80,98,35,69,8
725872,Certificate in MYOB AccountRight Premier 2017 Course,200,97,18,29,3
